sensor,normal_mean_abs_z,normal_p95_abs_z,normal_max_abs_z,fault15_mean_abs_z,fault15_post_mean_abs_z,fault15_post_p95_abs_z,fault15_post_max_abs_z
XMEAS_1,0.8097922463184886,1.1052224278450007,1.7636511325836182,0.8129830957048395,0.8289752397563528,1.1500289738178253,1.9545376300811768
XMEAS_2,0.8042617445893948,0.9682143211364747,1.1928595304489136,0.8022885779792004,0.802822278199827,0.9703038722276687,1.2555763721466064
XMEAS_3,0.802422575115711,1.01491117477417,1.304897665977478,0.8084555806249715,0.8145957337381209,1.0344192564487458,1.5349688529968262
XMEAS_4,0.8035794276244631,1.062482130527496,1.4108506441116333,0.8125814807984266,0.8206504521133269,1.0825952649116517,1.5806457996368408
XMEAS_5,0.8001081019394407,0.9344824910163877,1.0984681844711304,0.8012317744587245,0.8010984126259298,0.9318546950817108,1.1347700357437134
XMEAS_6,0.805573082139876,0.9361542522907257,1.071650743484497,0.8021783425807952,0.8029240844740587,0.9349716097116471,1.151617169380188
XMEAS_7,0.8091613237152385,1.4582386732101438,2.1782355308532715,0.8313501432203175,0.8456777904283475,1.503680908679962,2.6326968669891357
XMEAS_8,0.7996386673566553,0.969670009613037,1.181957483291626,0.8067842880741933,0.811618268249666,0.9833732843399048,1.2865358591079712
XMEAS_9,0.7827448704715971,0.9422845900058746,1.1342711448669434,0.7875744358950786,0.788403833327048,0.9508314162492753,1.308475136756897
XMEAS_10,0.7940251918008712,1.024388515949249,1.3726603984832764,0.8071351268237896,0.8141758980260175,1.037748372554779,1.4763782024383545
XMEAS_11,0.8087538526433238,1.2279714822769157,1.7531702518463135,0.8587224605512084,0.8671840258731561,1.2863394260406493,2.1863272190093994
XMEAS_12,0.7988504790545403,0.9286360025405883,1.0827865600585938,0.8008487142485179,0.8003106061553253,0.9326599061489105,1.0944724082946777
XMEAS_13,0.809481840901607,1.449301445484161,2.1678576469421387,0.8318925136511915,0.8464813433758476,1.4976724624633788,2.658623695373535
XMEAS_14,0.7980628688147898,0.9317884564399719,1.0905174016952515,0.8001194763371114,0.8011967342601103,0.9321758896112442,1.0949156284332275
XMEAS_15,0.8010705519526192,0.9273381650447845,1.1095587015151978,0.8014252486249034,0.800943296282607,0.9314630568027497,1.1544743776321411
XMEAS_16,0.8067278860503815,1.4265191912651047,2.363084554672241,0.8301418574157725,0.8426913259152103,1.4802408635616302,2.685446262359619
XMEAS_17,0.7964204116796286,0.9273973226547241,1.0559110641479492,0.7991399618601531,0.7993486843740238,0.929572120308876,1.1566519737243652
XMEAS_18,0.7706695847553707,1.5785062789916977,2.892669916152954,0.8183271988514769,0.8710982759331956,1.6747219324111935,2.9403843879699707
XMEAS_19,0.7754892686254969,1.542764639854429,2.949842691421509,0.8109529661840937,0.8714574888401172,1.6689606428146362,2.8779780864715576
XMEAS_20,0.818049604702978,1.4674275040626525,2.3980109691619873,0.829795494906688,0.8672161257981378,1.5743273735046386,2.9720327854156494
XMEAS_21,0.7996511234594195,0.9874402999877926,1.3284138441085815,0.8176782657115647,0.8272078444019837,1.0406177043914795,1.458177089691162
XMEAS_22,0.8040656313378266,0.9643549919128418,1.1840007305145264,0.8731360245219777,0.8758922657125137,1.0463662505149842,1.3836092948913574
XMEAS_23,0.8085761339253701,1.0288000702857971,1.4693807363510132,0.809677875953444,0.8215817018273999,1.0656075417995452,1.7278157472610474
XMEAS_24,0.8047571686635749,0.9992852568626404,1.238095760345459,0.8056371718705371,0.8078730888550772,1.0000600159168243,1.4349929094314575
XMEAS_25,0.8050020971994721,1.1187373876571653,1.8145698308944702,0.8131720091834497,0.8207647530655651,1.1740280866622925,2.095184564590454
XMEAS_26,0.8008851541160198,1.0032100677490232,1.2536989450454712,0.8026666347645641,0.8030712268203497,1.0085322320461274,1.4006332159042358
XMEAS_27,0.8013260518075822,1.0627163290977477,1.4297711849212646,0.8110510961386594,0.8200230114731718,1.0893161416053772,1.7587554454803467
XMEAS_28,0.7998899694239155,0.9809176564216613,1.216470718383789,0.8046315911948011,0.806118487149477,0.993964022397995,1.2597668170928955
XMEAS_29,0.8107724229985855,1.1601906776428221,1.6939929723739624,0.81415358289507,0.836138550685609,1.2138503432273862,1.9400856494903564
XMEAS_30,0.7953100557809465,1.0055800080299375,1.2809439897537231,0.8061997550089708,0.8110365889317849,1.0153871178627014,1.402424693107605
XMEAS_31,0.8012193567476023,1.2622141718864441,1.929962396621704,0.8164953026630906,0.8306709149400977,1.3247368931770325,2.488830089569092
XMEAS_32,0.8017517957437351,0.9961596846580505,1.2445976734161377,0.8038381857671095,0.80568319755442,0.9954259991645813,1.2389897108078003
XMEAS_33,0.8081012205148904,1.1928638339042663,1.6731741428375244,0.8166482939592908,0.8299571789275197,1.2114067673683167,2.103127956390381
XMEAS_34,0.7998010611757357,0.9842926442623137,1.3477861881256104,0.805532081272495,0.8088982175167869,1.0065427660942077,1.3784668445587158
XMEAS_35,0.8079906357674117,1.1014087915420523,1.6352498531341553,0.8207352161414168,0.8257033774975469,1.1381813824176787,1.9613245725631714
XMEAS_36,0.8060145749313554,0.9921884536743162,1.208631992340088,0.8092338749324338,0.8099878656005158,1.0031277179718017,1.253646731376648
XMEAS_37,0.8084897568565182,1.1192405223846436,1.6146180629730225,0.8034849207451504,0.8055337048900478,1.1018301248550415,1.5492888689041138
XMEAS_38,0.7918788087077802,1.399566662311553,2.153048515319824,0.8214695874151219,0.8707714811081395,1.4995432376861573,2.671529531478882
XMEAS_39,0.8057957062426577,1.1035157918930052,1.38966965675354,0.804761166781187,0.8037235644025837,1.0989282965660094,1.4803260564804077
XMEAS_40,0.8097760079639235,1.1205847740173338,1.6238526105880737,0.8051782796476664,0.8073963843698011,1.1169214248657227,1.627150297164917
XMEAS_41,0.8073616526591197,1.1113460063934322,1.416532278060913,0.8061721839857905,0.808657114070128,1.1112198889255522,1.5990480184555054
XMV_1,0.7976577825492688,0.9538242101669312,1.1446170806884766,0.8019265876244963,0.8032762838619597,0.9690838187932967,1.299149990081787
XMV_2,0.8028638859054122,1.0190825104713435,1.3300926685333252,0.8088119959482986,0.8143455526127534,1.0360058069229126,1.4828972816467285
XMV_3,0.8099504994721002,1.1056908845901487,1.775728702545166,0.8130090290502217,0.8290822499911574,1.1495151042938232,1.9445992708206177
XMV_4,0.8029226637422369,0.9341797769069671,1.1857322454452515,0.8031585159596433,0.8042260516075527,0.9382945090532302,1.1811625957489014
XMV_5,0.8138923574922683,1.3902852296829213,2.144897699356079,0.8277285445858253,0.8510371991777245,1.4586021721363065,2.7435760498046875
