type,simulationRun,window_idx,global_score,top1,top3_mean,top5_mean,top10_mean
normal,4,0,0.5653113126754761,1.1858841180801392,1.1419857740402222,1.120968222618103,1.048600673675537
normal,4,1,0.5809975862503052,1.2085187435150146,1.1880563497543335,1.159367322921753,1.072164535522461
normal,4,2,0.5688596367835999,1.2707571983337402,1.2348542213439941,1.1948895454406738,1.0741097927093506
normal,4,3,0.5615040063858032,1.2681471109390259,1.1509674787521362,1.1040422916412354,1.0139787197113037
normal,4,4,0.5517966747283936,1.1588140726089478,1.1340581178665161,1.0561182498931885,0.9751922488212585
normal,4,5,0.5801306366920471,1.194233775138855,1.1165316104888916,1.066410779953003,1.009482502937317
normal,4,6,0.5857893228530884,1.1996244192123413,1.1728906631469727,1.12276291847229,1.042174220085144
normal,4,7,0.606783926486969,1.3300472497940063,1.2037569284439087,1.166002631187439,1.0857371091842651
normal,4,8,0.6138944029808044,1.269872784614563,1.1986159086227417,1.1592981815338135,1.0834470987319946
normal,4,9,0.6244904398918152,1.328696846961975,1.237903118133545,1.201014757156372,1.125205397605896
normal,4,10,0.643591046333313,1.3755018711090088,1.3302923440933228,1.2973387241363525,1.2004250288009644
normal,4,11,0.6488313674926758,1.3993724584579468,1.3408397436141968,1.286861538887024,1.1986525058746338
normal,4,12,0.6398255825042725,1.399943470954895,1.3492344617843628,1.2905172109603882,1.198554277420044
normal,4,13,0.64081871509552,1.4507197141647339,1.3405619859695435,1.2749536037445068,1.1847426891326904
normal,4,14,0.6302191615104675,1.2820326089859009,1.2553880214691162,1.2217546701431274,1.1478904485702515
normal,4,15,0.6228338479995728,1.317604660987854,1.224246621131897,1.1728935241699219,1.1193616390228271
normal,4,16,0.6361856460571289,1.3959708213806152,1.246925950050354,1.199787974357605,1.1198124885559082
normal,4,17,0.6199969053268433,1.4707708358764648,1.2163861989974976,1.155336618423462,1.0896700620651245
normal,4,18,0.6230280995368958,1.433516025543213,1.2357110977172852,1.180874228477478,1.1059024333953857
normal,4,19,0.602126955986023,1.3005651235580444,1.1964224576950073,1.1361610889434814,1.045690655708313
normal,4,20,0.6053763628005981,1.4475350379943848,1.2639073133468628,1.1755707263946533,1.0716708898544312
normal,4,21,0.6100756525993347,1.6617742776870728,1.3129833936691284,1.2225806713104248,1.0918776988983154
normal,4,22,0.5913337469100952,1.4645798206329346,1.1851097345352173,1.1165434122085571,1.003749132156372
normal,4,23,0.5786199569702148,1.4507533311843872,1.1868852376937866,1.101692795753479,0.999218761920929
normal,4,24,0.5952810049057007,1.4551407098770142,1.2378449440002441,1.1298760175704956,1.0102949142456055
normal,4,25,0.5969542264938354,1.4026700258255005,1.1999084949493408,1.1001795530319214,1.0002176761627197
normal,4,26,0.62022465467453,1.5366133451461792,1.2668781280517578,1.1398568153381348,1.036129355430603
normal,4,27,0.6298122406005859,1.4209492206573486,1.278957486152649,1.1685434579849243,1.0620312690734863
normal,4,28,0.642822265625,1.4338847398757935,1.2785242795944214,1.1881307363510132,1.0768903493881226
normal,4,29,0.63944411277771,1.468680500984192,1.2790546417236328,1.1954312324523926,1.0913151502609253
normal,4,30,0.6207637190818787,1.3935195207595825,1.2570511102676392,1.205234408378601,1.0993802547454834
normal,4,31,0.6493880748748779,1.3686819076538086,1.2727900743484497,1.2262589931488037,1.1017259359359741
normal,4,32,0.6545702219009399,1.3591983318328857,1.2594929933547974,1.2281749248504639,1.0967286825180054
normal,4,33,0.6251187920570374,1.4216337203979492,1.2941333055496216,1.212308406829834,1.066928744316101
normal,4,34,0.606350839138031,1.3467381000518799,1.2681779861450195,1.1725881099700928,1.0356428623199463
normal,4,35,0.6106100082397461,1.2825404405593872,1.232816219329834,1.1666618585586548,1.0524346828460693
normal,4,36,0.5996938943862915,1.2212790250778198,1.211979866027832,1.1273332834243774,1.018049716949463
normal,4,37,0.593792200088501,1.2558257579803467,1.2349367141723633,1.1548773050308228,1.0329421758651733
normal,4,38,0.581767737865448,1.1591280698776245,1.156198501586914,1.0878403186798096,0.9807035326957703
normal,4,39,0.60094153881073,1.2246147394180298,1.1600565910339355,1.109289526939392,0.9932204484939575
normal,4,40,0.5929041504859924,1.1874192953109741,1.1838635206222534,1.0904898643493652,0.9897522926330566
normal,4,41,0.603981614112854,1.0819450616836548,1.0575872659683228,1.0348727703094482,0.97413170337677
normal,4,42,0.5993584990501404,1.0281996726989746,1.007863998413086,0.9991462826728821,0.9622227549552917
